titolo,autore,link,special
21,Adele,https://open.spotify.com/album/5duyQokC4FMcWPYTV9Gpf9?si=WJr2drm5RQa1TOOoyeqiSg,FALSE
Blu Celeste,Blanco,https://open.spotify.com/album/7zFt7hLRPxemmlzVzg5uec?si=rjXGkvGmSgiypS2aVgI0eg,FALSE
Caravelle,Polo & Pan,https://open.spotify.com/album/50ZFAeGxaNWSMjHfQOkzJK?si=_B9ZNs4YSrGcxm5KAKZPmw,FALSE
Disumano,Fedez,https://open.spotify.com/album/6gMA11qiuxvAkeoUfAloN9?si=8bLvTD42RwqHulNp8HxQeA,FALSE
Enter Sandwich,Pop X,https://open.spotify.com/album/3G0VzNCDRVSQxl3M0HaKwS?si=WIxDiu9iTC-PkHkLmN8Ahg,FALSE
Madame,Madame,https://open.spotify.com/album/7oF6ed3aSHU6aDD4MD3LIr?si=M76QFi8JRJSIoEz3JLPl-g,FALSE
Montero,Lil Nas X,https://open.spotify.com/album/6pOiDiuDQqrmo5DbG0ZubR?si=oe-UvG2IS3GHmc-Y0svAJw,FALSE
Oceano Paradiso,Chiello,https://open.spotify.com/album/2uopesg6vZ52owGKMTBl9m?si=7OkvNdIGRBSvHE7N_WutRg,TRUE
Ok,Gazzelle,https://open.spotify.com/album/3Y4qJnPihpHfdK3rre9GFA?si=L4CJlcXIQhuQS5exOGKULA,FALSE
Pubblicità,Cimini,https://open.spotify.com/album/5YjTGzxiZGEpXOjTyrptQa?si=XxwAkz9hSsyPDrEGQTvtPQ,FALSE
Spazio,Ariete,https://open.spotify.com/album/1rF5ezgSerqkUK1Nc9Ft6p?si=fSIaXf9lQxmlO2QsArMNPQ,FALSE
Tra il bar e la favola,Fratelli Quintale,https://open.spotify.com/album/1XnOOagsrRMl39d4ONW40m?si=JyAsrJCrRESTYin9k1DRzg,FALSE
