titolo,autore,link,special
Going Clear: Scientology and the Prison of Belief,Alex Gibney,https://it.wikipedia.org/wiki/Going_Clear_-_Scientology_e_la_prigione_della_fede,FALSE
Midsommar,Ari Aster,https://it.wikipedia.org/wiki/Midsommar_-_Il_villaggio_dei_dannati,FALSE
Moonlight,Barry Jenkins,https://it.wikipedia.org/wiki/Moonlight_(film_2016),FALSE
American animals,Bart Layton,https://it.wikipedia.org/wiki/American_Animals,FALSE
Eight grade,Bo Burnham,https://it.wikipedia.org/wiki/Eighth_Grade_-_Terza_media,FALSE
Spider-Man: Into the Spider-Verse,Bob Persischetti,https://it.wikipedia.org/wiki/Spider-Man_-_Un_nuovo_universo,TRUE
Parasite,Bong Joon-ho,https://it.wikipedia.org/wiki/Parasite,TRUE
Okja,Bong Joon-ho,https://it.wikipedia.org/wiki/Okja,FALSE
Gli incredibili,Brad Bird,https://it.wikipedia.org/wiki/Gli_Incredibili_-_Una_%22normale%22_famiglia_di_supereroi,FALSE
Dunkirk,Christopher Nolan,https://it.wikipedia.org/wiki/Dunkirk_(film_2017),FALSE
Memento,Christopher Nolan,https://it.wikipedia.org/wiki/Memento,FALSE
Inception,Christopher Nolan,https://it.wikipedia.org/wiki/Inception,FALSE
Tenet,Christopher Nolan,https://it.wikipedia.org/wiki/Tenet,FALSE
La La Land,Damien Chazelle,https://it.wikipedia.org/wiki/La_La_Land,TRUE
Whiplash,Damien Chazelle,https://it.wikipedia.org/wiki/Whiplash_(film_2014),TRUE
Lo sciacallo,Dan Gilroy,https://it.wikipedia.org/wiki/Lo_sciacallo_-_Nightcrawler,FALSE
Onward,Dan Scanlon,https://it.wikipedia.org/wiki/Onward_-_Oltre_la_magia,FALSE
The death of Dick Long,Daniel Scheinert,https://en.wikipedia.org/wiki/The_Death_of_Dick_Long,FALSE
Zodiac,David Fincher,https://it.wikipedia.org/wiki/Zodiac_(film),FALSE
Gone girl,David Fincher,https://it.wikipedia.org/wiki/L%27amore_bugiardo_-_Gone_Girl,FALSE
Fight club,David Fincher,https://it.wikipedia.org/wiki/Fight_Club_(film),TRUE
Seven,David Fincher,https://it.wikipedia.org/wiki/Seven,FALSE
The fighter,David O. Russell,https://it.wikipedia.org/wiki/The_Fighter_(film_2010),FALSE
Prisoners,Denis Villeneuve,https://it.wikipedia.org/wiki/Prisoners_(film_2013),FALSE
Blade Runner 2049,Denis Villeneuve,https://it.wikipedia.org/wiki/Blade_Runner_2049,FALSE
Baby Driver,Edgar Wright,https://it.wikipedia.org/wiki/Baby_Driver_-_Il_genio_della_fuga,FALSE
Luca,Enrico Casarosa,https://it.wikipedia.org/wiki/Luca_(film_2021),FALSE
Freaks Out,Gabriele Mainetti,https://it.wikipedia.org/wiki/Freaks_Out,FALSE
Il buco,Galder Gaztelu-Urrutia,https://it.wikipedia.org/wiki/Il_buco_(film_2019),FALSE
Rango,Gore Verbinski,https://it.wikipedia.org/wiki/Rango_(film_2011),FALSE
Lady Bird,Greta Gerwig,https://it.wikipedia.org/wiki/Lady_Bird_(film),FALSE
La forma dell’acqua,Guillermo del Toro,https://it.wikipedia.org/wiki/La_forma_dell%27acqua_-_The_Shape_of_Water,FALSE
The Gentlemen,Guy Ritchie,https://it.wikipedia.org/wiki/The_Gentlemen,FALSE
Snatch – Lo strappo,Guy Ritchie,https://it.wikipedia.org/wiki/Snatch_-_Lo_strappo,TRUE
Il castello errante di Howl,Hayao Miyazaki,https://it.wikipedia.org/wiki/Il_castello_errante_di_Howl,TRUE
Porco rosso,Hayao Miyazaki,https://it.wikipedia.org/wiki/Porco_Rosso,FALSE
La città incantata,Hayao Miyazaki,https://it.wikipedia.org/wiki/La_citt%C3%A0_incantata,FALSE
La principessa Mononoke,Hayao Miyazaki,https://it.wikipedia.org/wiki/Princess_Mononoke,FALSE
Il mio vicino Totoro,Hayao Miyazaki,https://it.wikipedia.org/wiki/Il_mio_vicino_Totoro,FALSE
The disaster artist,James Franco,https://it.wikipedia.org/wiki/The_Disaster_Artist,FALSE
Logan,James Mangold,https://it.wikipedia.org/wiki/Logan_-_The_Wolverine,FALSE
V per vendetta,James McTeigue,https://it.wikipedia.org/wiki/V_per_Vendetta,FALSE
Free Solo,Jimmy Chin,https://it.wikipedia.org/wiki/Free_Solo_-_Sfida_estrema,FALSE
Jumanji,Joe Johnston,https://it.wikipedia.org/wiki/Jumanji_(film),FALSE
Non è un paese per vecchi,Joel ed Ethan Coen,https://it.wikipedia.org/wiki/Non_%C3%A8_un_paese_per_vecchi_(film),TRUE
Fargo,Joel ed Ethan Coen,https://it.wikipedia.org/wiki/Fargo_(film),FALSE
Il silenzio degli innocenti,Johnathan Demme,https://it.wikipedia.org/wiki/Il_silenzio_degli_innocenti_(film),FALSE
Get Out,Jordan Peele,https://it.wikipedia.org/wiki/Scappa_-_Get_Out,FALSE
Uncut Gems,Josh e Benny Safdie,https://it.wikipedia.org/wiki/Diamanti_grezzi,TRUE
Good Time,Josh e Benny Safdie,https://it.wikipedia.org/wiki/Good_Time_(film),FALSE
Rick & Morty,Jusin Roiland e Dan Harmon,https://it.wikipedia.org/wiki/Rick_and_Morty,TRUE
Manchester by the sea,Kenneth Lonergan,https://it.wikipedia.org/wiki/Manchester_by_the_Sea,FALSE
Coco,Lee Unkrich,https://it.wikipedia.org/wiki/Coco_(film_2017),FALSE
Suspiria,Luca Guadagnino,https://it.wikipedia.org/wiki/Suspiria_(film_2018),FALSE
Call me by your name,Luca Guadagnino,https://it.wikipedia.org/wiki/Chiamami_col_tuo_nome_(film),FALSE
Le follie dell’imperatore,Mark Dindal,https://it.wikipedia.org/wiki/Le_follie_dell%27imperatore,TRUE
"Tre manifesti a Ebbing, Missouri",Martin McDonagh,"https://it.wikipedia.org/wiki/Tre_manifesti_a_Ebbing,_Missouri",FALSE
The wolf of Wall Street,Martin Scorsese,https://it.wikipedia.org/wiki/The_Wolf_of_Wall_Street,FALSE
The Irishman,Martin Scorsese,https://it.wikipedia.org/wiki/The_Irishman_(film_2019),FALSE
The departed,Martin Scorsese,https://it.wikipedia.org/wiki/The_Departed_-_Il_bene_e_il_male,TRUE
Shutter Island,Martin Scorsese,https://it.wikipedia.org/wiki/Shutter_Island,FALSE
Quai bravi ragazzi,Martin Scorsese,https://it.wikipedia.org/wiki/Quei_bravi_ragazzi,FALSE
American Psycho,Mary Harron,https://it.wikipedia.org/wiki/American_Psycho_(film),FALSE
Captain Fantastic,Matt Ross,https://it.wikipedia.org/wiki/Captain_Fantastic,FALSE
Eternal Sunshine of the Spotless Mind,Michel Gondry,https://it.wikipedia.org/wiki/Se_mi_lasci_ti_cancello,FALSE
Marriage Story,Noah Baumbach,https://it.wikipedia.org/wiki/Storia_di_un_matrimonio,TRUE
The Meyerowitz Stories,Noah Baumbach,https://it.wikipedia.org/wiki/The_Meyerowitz_Stories,FALSE
Booksmart,Olivia Wilde,https://it.wikipedia.org/wiki/La_rivincita_delle_sfigate,FALSE
Mandy,Panos Cosmatos,https://it.wikipedia.org/wiki/Mandy_(film_2018),FALSE
Oldboy,Park Chan-wook,https://it.wikipedia.org/wiki/Old_Boy_(film_2003),TRUE
First Reformed,Paul Schrader,https://it.wikipedia.org/wiki/First_Reformed_-_La_creazione_a_rischio,FALSE
